,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),shipment_cost
8470,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2011-06-30,2011-06-07,2011-06-07,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,2383,36936.5,15.5,0.26,"Aurobindo Unit III, India",Yes,882.0,4516.67,60.95,41514.119999999995
8471,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,2014-03-28,2014-03-28,2014-04-04,ARV,Adult,SCMS from RDC,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,180194,1958708.78,10.87,0.36,"Aurobindo Unit VII, IN",Yes,13739.0,5869.655000000001,2422.92,1967001.355
8472,Guyana,PMO - US,From RDC,N/A - From RDC,Air,2014-06-30,2014-04-14,2014-06-06,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,176,369.6,2.1,0.01,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,0.38,6239.635000000001
8473,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2014-09-30,2014-09-03,2014-09-05,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,6,48.66,8.11,0.14,"Aurobindo Unit III, India",Yes,6589.0,26731.0,0.05,26779.71
8474,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2015-06-30,2015-04-28,2015-04-29,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,19100,360990.0,18.9,0.16,ABBVIE Ludwigshafen Germany,Yes,4710.0,8228.24,371.1,369589.33999999997
8475,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,2015-07-08,2015-08-07,2015-08-27,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,14329,110619.88,7.72,0.13,Hetero Unit III Hyderabad IN,No,1047.0,5869.655000000001,130.2,116619.735
8476,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2015-08-17,2015-08-25,2015-09-03,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,80901,897192.09,11.09,0.18,Mylan (formerly Matrix) Nashik,No,1047.0,5869.655000000001,922.31,903984.055
8477,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,2009-09-17,2009-09-14,2009-09-14,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,316,2768.16,8.76,0.15,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,5.43,8643.245
8478,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2010-04-07,2010-03-03,2010-03-03,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,7056,10301.76,1.46,0.02,"Strides, Bangalore, India.",No,1047.0,5869.655000000001,22.21,16193.625
8479,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,2010-04-01,2010-03-25,2010-03-25,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,20000,224400.0,11.22,0.19,"Aurobindo Unit III, India",Yes,2356.0,16682.66,483.81,241566.47
8480,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2010-08-23,2010-08-23,2010-08-23,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,12060,86952.6,7.21,0.12,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,187.47,93009.725
8481,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,2010-12-03,2010-12-03,2010-12-03,ARV,Pediatric,SCMS from RDC,"Didanosine 100mg, chewable/dispersible tablets, 60 Tabs",Didanosine,Generic,100mg,Chewable/dispersible tablet,60,2864,22110.08,7.72,0.13,"Aurobindo Unit III, India",Yes,612.0,1979.75,47.67,24137.5
8482,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,2010-11-30,2010-11-26,2010-11-26,ARV,Adult,SCMS from RDC,"Stavudine 20mg, capsules, 60 Caps",Stavudine,Generic,20mg,Capsule,60,2551,3647.93,1.43,0.02,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,7.86,9525.445000000002
8483,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2011-04-15,2011-04-05,2011-04-05,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,4875,77463.75,15.89,0.26,"Cipla, Patalganga, India",Yes,2556.0,4471.07,127.82,82062.64000000001
8484,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,2014-04-21,2014-05-01,2014-06-11,ARV,Adult,SCMS from RDC,"Abacavir/Lamivudine 600/300mg, scored tablets, 30 Tabs",Abacavir/Lamivudine,Generic,600/300mg,Tablet - FDC,30,489,6611.28,13.52,0.45,Mylan (formerly Matrix) Nashik,No,1047.0,5869.655000000001,6.8,12487.735
8485,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,2014-09-24,2014-10-28,2014-12-04,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,2725,5940.5,2.18,0.04,Hetero Unit III Hyderabad IN,No,1047.0,5869.655000000001,6.11,11816.265000000001
8486,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,2015-02-16,2015-01-14,2015-01-19,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,21739,48043.19,2.21,0.04,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,49.39,53962.235
8487,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,2015-06-30,2015-06-09,2015-06-15,ARV,Adult,SCMS from RDC,"Abacavir/Lamivudine 600/300mg, tablets, 30 Tabs",Abacavir/Lamivudine,Generic,600/300mg,Tablet - FDC,30,5000,67450.0,13.49,0.45,Mylan (formerly Matrix) Nashik,Yes,517.0,708.23,79.39,68237.62
8488,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,2015-07-31,2015-08-06,2015-08-07,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,18928,123410.56,6.52,0.11,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,145.25,129425.465
8489,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2009-12-18,2009-12-18,2009-12-18,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,77386,447291.08,5.78,0.19,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,876.69,454037.42500000005
8490,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2009-12-04,2009-12-02,2009-12-02,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,1833,4472.52,2.44,0.04,"Aurobindo Unit III, India",Yes,88.0,1211.48,8.77,5692.77
8491,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,2010-04-07,2010-03-25,2010-03-25,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,4500,24075.0,5.35,0.18,Mylan (formerly Matrix) Nashik,Yes,350.0,1854.0,51.91,25980.91
8492,Uganda,PMO - US,From RDC,N/A - From RDC,Air,2010-05-26,2010-04-12,2010-04-12,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,5000,25650.0,5.13,0.17,Mylan (formerly Matrix) Nashik,No,1047.0,5869.655000000001,55.3,31574.954999999998
8493,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,2010-07-21,2010-03-31,2010-03-31,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,4800,13104.0,2.73,0.05,"Aurobindo Unit III, India",Yes,460.0,5869.655000000001,28.25,19001.905
8494,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,2010-05-28,2010-05-31,2010-05-31,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,47390,277231.5,5.85,0.1,"Cipla, Goa, India",Yes,7112.0,3833.17,543.37,281608.04
8495,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2010-06-30,2010-06-21,2010-06-21,ARV,Pediatric,SCMS from RDC,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,1596,3575.04,2.24,0.07,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,7.71,9452.404999999999
8496,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2010-09-30,2010-09-25,2010-09-25,ARV,Pediatric,SCMS from RDC,"Didanosine 200mg, chewable/dispersible tablets, 60 Tabs",Didanosine,Generic,200mg,Chewable/dispersible tablet,60,6016,93248.0,15.5,0.26,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,201.04,99318.69499999999
8497,Uganda,PMO - US,From RDC,N/A - From RDC,Air,2010-10-20,2010-10-25,2010-10-25,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,31932,358277.04,11.22,0.19,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,772.45,364919.145
8498,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2010-12-31,2010-11-25,2010-11-25,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,3653,19835.79,5.43,0.09,"Cipla, Goa, India",No,1047.0,5869.655000000001,42.77,25748.215
8499,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2011-01-31,2011-01-18,2011-01-18,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,22242,51823.86,2.33,0.04,Hetero Unit III Hyderabad IN,Yes,1207.0,7487.51,111.73,59423.100000000006
8500,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,2014-05-30,2014-05-19,2014-06-26,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,440,818.4,1.86,0.01,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,0.84,6688.895
8501,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,2014-07-31,2014-09-25,2014-10-06,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 100 ml",Nevirapine,Generic,10mg/ml,Oral suspension,100,43293,56280.9,1.3,0.01,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,69.62,62220.175
8502,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,2014-12-31,2014-10-28,2014-11-13,ARV,Adult,SCMS from RDC,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,80,302.4,3.78,0.13,Hetero Unit III Hyderabad IN,No,1047.0,5869.655000000001,0.31,6172.365000000001
8503,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,2015-01-15,2014-12-17,2014-12-22,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,52500,168525.0,3.21,0.11,"Strides, Bangalore, India.",Yes,10119.0,6852.08,173.24,175550.31999999998
8504,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,2015-02-27,2015-03-11,2015-03-30,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,5,32.6,6.52,0.11,"Aurobindo Unit III, India",Yes,1683.0,6443.5,0.03,6476.13
8505,Guyana,PMO - US,From RDC,N/A - From RDC,Air,2009-11-23,2009-11-03,2009-11-03,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,455,1110.2,2.44,0.04,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,2.39,6982.245000000001
8506,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2010-03-09,2010-03-01,2010-03-01,ARV,Pediatric,SCMS from RDC,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,1596,3575.04,2.24,0.07,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,7.01,9451.705
8507,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2010-03-16,2010-03-15,2010-03-15,ARV,Pediatric,SCMS from RDC,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,1628,3093.2,1.9,0.01,"Cipla, Goa, India",Yes,622.0,13122.39,6.67,16222.26
8508,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2010-04-19,2010-03-31,2010-03-31,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,578,6791.5,11.75,0.39,Mylan (formerly Matrix) Nashik,Yes,47.0,5869.655000000001,14.64,12675.795
8509,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,2010-07-15,2010-06-28,2010-06-28,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,1000,11220.0,11.22,0.19,"Aurobindo Unit III, India",Yes,117.0,5869.655000000001,24.19,17113.844999999998
8510,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2010-08-10,2010-08-23,2010-08-23,ARV,Pediatric,SCMS from RDC,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,3840,7411.2,1.93,0.01,"Cipla, Goa, India",No,1047.0,5869.655000000001,15.98,13296.835
8511,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,2010-12-02,2010-11-29,2010-11-29,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,23787,63273.42,2.66,0.04,Hetero Unit III Hyderabad IN,Yes,1378.0,2559.88,136.42,65969.72
8512,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2010-12-20,2011-01-05,2011-01-05,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,600,9864.0,16.44,0.27,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,21.27,15754.925000000001
8513,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2011-04-01,2011-01-13,2011-01-13,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,12080,28146.4,2.33,0.04,Hetero Unit III Hyderabad IN,Yes,503.0,2355.79,60.68,30562.870000000003
8514,Uganda,PMO - US,From RDC,N/A - From RDC,Air,2011-04-18,2011-03-15,2011-03-15,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,46113,332474.73,7.21,0.12,"Aurobindo Unit III, India",Yes,2534.0,16629.49,548.58,349652.8
8515,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2011-03-14,2011-04-20,2011-04-20,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,1320,47731.2,36.16,0.3,ABBVIE Ludwigshafen Germany,Yes,276.0,2080.2,102.91,49914.31
8516,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,2011-03-31,2011-05-20,2011-05-20,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,22074,122731.44,5.56,0.09,"Cipla, Goa, India",No,1047.0,5869.655000000001,264.61,128865.705
8517,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,2014-04-15,2014-04-14,2014-04-17,ARV,Adult,SCMS from RDC,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,4629,51613.35,11.15,0.37,"Aurobindo Unit VII, IN",No,1047.0,5869.655000000001,53.06,57536.064999999995
8518,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,2014-12-31,2014-08-14,2014-08-15,ARV,Pediatric,SCMS from RDC,"Abacavir 20mg/ml, oral solution w/syringe, Bottle, 240 ml",Abacavir,Generic,20mg/ml,Oral solution,240,800,6800.0,8.5,0.04,"Aurobindo Unit III, India",Yes,297.0,2282.79,6.99,9089.78
8519,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,2015-01-30,2015-02-18,2015-02-23,ARV,Pediatric,SCMS from RDC,"Lamivudine/Zidovudine 30/60mg, dispersible tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,30/60mg,Chewable/dispersible tablet - FDC,60,800,1592.0,1.99,0.03,"Cipla, Goa, India",No,1047.0,5869.655000000001,1.64,7463.295000000001
8520,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2015-02-27,2015-03-25,2015-03-26,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,54000,352080.0,6.52,0.11,"Hetero, Jadcherla, unit 5, IN",Yes,28276.0,46157.86,361.94,398599.8
8521,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2010-01-15,2009-12-14,2009-12-14,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,80000,232000.0,2.9,0.05,"Cipla, Goa, India",Yes,8756.0,13844.72,454.72,246299.44
8522,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,2010-02-25,2010-02-18,2010-02-18,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,29,325.38,11.22,0.19,"Aurobindo Unit III, India",Yes,5134.0,9348.0,0.64,9674.019999999999
8523,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2010-04-30,2010-04-16,2010-04-16,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,2600,54574.0,20.99,0.35,Mylan (formerly Matrix) Nashik,Yes,8819.0,8022.59,106.97,62703.56
8524,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2010-08-23,2010-08-23,2010-08-23,ARV,Pediatric,SCMS from RDC,"Stavudine 1mg/ml, powder for oral solution, 200 ml",Stavudine,Generic,1mg/ml,Oral solution,200,2400,3240.0,1.35,0.01,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,6.99,9116.645
8525,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,2010-11-30,2010-11-26,2010-11-26,ARV,Pediatric,SCMS from RDC,"Stavudine 1mg/ml, powder for oral solution, 200 ml",Stavudine,Generic,1mg/ml,Oral solution,200,2449,3306.15,1.35,0.01,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,7.13,9182.935
8526,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2011-02-28,2011-02-14,2011-02-14,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,5980,13933.4,2.33,0.04,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,30.04,19833.095
8527,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,2011-03-31,2011-03-17,2011-03-17,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,66645,370546.2,5.56,0.09,"Strides, Bangalore, India.",No,1047.0,5869.655000000001,798.9,377214.75500000006
8528,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,2011-03-31,2011-03-18,2011-03-18,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,9073,22773.23,2.51,0.04,Hetero Unit III Hyderabad IN,Yes,2102.0,7765.17,49.1,30587.5
8529,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,2011-05-31,2011-06-13,2011-06-13,ARV,Pediatric,SCMS from RDC,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,4250,9520.0,2.24,0.07,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,20.53,15410.185000000001
8530,Guyana,PMO - US,From RDC,N/A - From RDC,Air,2011-06-20,2011-05-16,2011-05-16,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,600,1170.0,1.95,0.01,"Aurobindo Unit III, India",Yes,239.0,3106.89,1.93,4278.82
8531,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,2014-06-03,2014-06-03,2014-06-11,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,100000,811000.0,8.11,0.14,Hetero Unit III Hyderabad IN,No,1047.0,5869.655000000001,833.71,817703.365
8532,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,2014-08-15,2014-08-15,2014-09-05,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,1000,5500.0,5.5,0.09,"Aurobindo Unit III, India",Yes,204.0,3298.78,5.65,8804.43
8533,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,2014-06-27,2014-07-06,2014-08-05,ARV,Adult,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,53705,249191.2,4.64,0.15,Hetero Unit III Hyderabad IN,Yes,5565.0,34837.8,308.25,284337.25
8534,Guyana,PMO - US,From RDC,N/A - From RDC,Air,2014-09-30,2014-08-29,2014-09-08,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,2238,12846.12,5.74,0.19,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,13.21,18728.985
8535,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2014-07-14,2014-09-03,2014-10-06,ARV,Pediatric,SCMS from RDC,"Abacavir/Lamivudine 60/30mg, tablets, 60 Tabs",Abacavir/Lamivudine,Generic,60/30mg,Tablet - FDC,60,18027,73730.43,4.09,0.07,"Aurobindo Unit III, India",Yes,1228.0,1765.18,75.79,75571.39999999998
8536,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2014-08-29,2014-09-23,2014-10-06,ARV,Adult,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,14055,65074.65,4.63,0.15,"Cipla, Kurkumbh, India",Yes,1406.0,1335.02,66.9,66476.56999999999
8537,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,2015-01-14,2014-12-24,2015-01-05,ARV,Pediatric,SCMS from RDC,"Abacavir/Lamivudine 60/30mg, dispersible tablets, 60 Tabs",Abacavir/Lamivudine,Generic,60/30mg,Chewable/dispersible tablet - FDC,60,3238,16481.42,5.09,0.08,"Cipla, Patalganga, India",No,1047.0,5869.655000000001,16.94,22368.014999999996
8538,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,2015-01-30,2015-01-19,2015-01-27,ARV,Adult,SCMS from RDC,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,32884,320947.84,9.76,0.33,Hetero Unit III Hyderabad IN,Yes,4114.0,9264.13,329.93,330541.9
8539,Burundi,PMO - US,From RDC,N/A - From RDC,Air,2015-05-29,2015-03-25,2015-03-30,ARV,Adult,SCMS from RDC,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,7380,73726.2,9.99,0.33,Mylan (formerly Matrix) Nashik,Yes,1115.0,7006.47,86.78,80819.45
8540,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,2015-06-15,2015-05-14,2015-05-15,ARV,Pediatric,SCMS from RDC,"Lamivudine/Zidovudine 30/60mg, dispersible tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,30/60mg,Chewable/dispersible tablet - FDC,60,8193,15730.56,1.92,0.03,"Mylan,  H-12 & H-13, India",No,1047.0,5869.655000000001,18.51,21618.725
