,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),shipment_cost
1274,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,2007-11-16,2007-11-16,2007-11-16,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,30,1,2.0,2.0,0.07,"Cipla, Goa, India",Yes,63.0,598.08,0.0,600.08
1275,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,2008-01-28,2008-01-28,2008-01-28,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,3150,9576.0,3.04,0.05,"Ranbaxy, Paonta Shahib, India",Yes,165.0,2559.28,15.32,12150.6
1276,Zambia,PMO - US,From RDC,N/A - From RDC,Air,2008-05-09,2008-05-09,2008-05-09,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,50000,472500.0,9.45,0.16,"Aurobindo Unit III, India",Yes,4657.0,2348.92,756.0,475604.92
1277,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,2008-03-21,2008-03-21,2008-03-21,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,65524,622478.0,9.5,0.16,"Aurobindo Unit III, India",Yes,14599.0,32146.52,995.96,655620.48
1278,Guyana,PMO - US,From RDC,N/A - From RDC,Air,2008-05-09,2008-05-09,2008-05-09,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,150,12330.0,82.2,0.68,ABBVIE Ludwigshafen Germany,Yes,34.0,1608.7,19.73,13958.43
1279,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,2009-01-19,2009-01-19,2009-01-19,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,12304,322980.0,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",Yes,5197.0,21895.01,633.04,345508.05
1280,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2008-12-01,2008-12-01,2008-12-01,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,32256,301593.6,9.35,0.16,"Aurobindo Unit III, India",Yes,5589.0,22758.49,591.12,324943.20999999996
1281,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2009-04-28,2009-04-28,2009-04-28,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,12480,512928.0,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,2803.0,8669.38,1005.34,522602.72000000003
1282,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,2009-04-27,2009-04-27,2009-04-27,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,4000,48040.0,12.01,0.4,"Aurobindo Unit III, India",Yes,8523.0,35673.58,94.16,83807.74
1283,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2009-09-08,2009-09-08,2009-09-08,ARV,Adult,SCMS from RDC,"Stavudine 20mg, capsules, 60 Caps",Stavudine,Generic,20mg,Capsule,60,2052,3591.0,1.75,0.03,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,7.04,9467.695000000002
